,0
etranger_,0.00871463092359
age15_,0.0159200750527
age30_,-0.0130961708879
age40_,-0.0203459332827
dip10_,-0.0332358547445
dip11_,-0.0758845352813
dip30_,-0.0486261885766
dip31_,-0.0205370784749
dip33_,-0.1019046443
dip41_,0.00142238626926
dip42_,-0.0106793184739
dip50_,0.000115587481076
dip60_,0.0190295019826
dip70_,0.0412027751744
female_,0.00820441719015
enfants_,-0.0169278486852
region1_,0.00197373695944
region2_,-0.0200903730686
domtom_,-0.0036260881585
